3BF51CHDTWR8GKXZEAHDLB8WZ2P0HZ;21;reading_instruction;2019-10-01 18:38:14.337000;2019-10-01 18:38:17.236000;3.404;42;estimating
3BF51CHDTWR8GKXZEAHDLB8WZ2P0HZ;21;declaring_experience;2019-10-01 18:38:17.741000;2019-10-01 18:38:44.381000;27.495;58;estimating
3BF51CHDTWR8GKXZEAHDLB8WZ2P0HZ;21;reading_instruction;2019-10-01 18:38:45.236000;2019-10-01 18:38:45.952000;1.398;11;estimating
3BF51CHDTWR8GKXZEAHDLB8WZ2P0HZ;21;reading_basic-info;2019-10-01 18:38:46.634000;2019-10-01 18:38:49.152000;2.904;9;estimating
3BF51CHDTWR8GKXZEAHDLB8WZ2P0HZ;21;estimating_estimating-step;2019-10-01 18:38:49.538000;2019-10-01 18:38:51.785000;2.608;16;estimating
3BF51CHDTWR8GKXZEAHDLB8WZ2P0HZ;21;estimating_time-options;2019-10-01 18:38:52.146000;2019-10-01 18:38:55.517000;4.35;4;estimating
3BF51CHDTWR8GKXZEAHDLB8WZ2P0HZ;21;justifying_justification;2019-10-01 18:38:56.496000;2019-10-01 18:39:23.618000;27.72;81;estimating
3BF51CHDTWR8GKXZEAHDLB8WZ2P0HZ;21;estimating_estimating-step;2019-10-01 18:39:24.216000;2019-10-01 18:39:24.516000;0.3;8;estimating
3BF51CHDTWR8GKXZEAHDLB8WZ2P0HZ;system;dropping;2019-10-01 18:39:24.516000;2019-10-01 18:39:24.516000;101.903;0;dropped
3OS4RQUCRAWPMB93H0Q227S2AR9FB2;34;reading_instruction;2019-10-01 18:41:06.419000;2019-10-01 18:41:09.142000;3.851;46;estimating
3OS4RQUCRAWPMB93H0Q227S2AR9FB2;34;declaring_experience;2019-10-01 18:41:10.270000;2019-10-01 18:41:12.324000;2.394;2;estimating
3OS4RQUCRAWPMB93H0Q227S2AR9FB2;34;reading_instruction;2019-10-01 18:41:12.664000;2019-10-01 18:41:15.077000;3.171;41;estimating
